datetime,AIZ,EQR,MNST,RJF,SO,cash,commission,total,returns,equity_curve
2018-01-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,,
2018-09-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-05,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-06,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-07,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-10,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-11,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-12,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-13,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-14,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-17,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-18,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-19,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-20,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-21,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-24,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-25,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-26,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-27,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-09-28,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-01,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-02,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-03,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-04,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-05,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-08,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-09,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-10,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-11,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-12,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-15,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-16,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-17,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-18,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-19,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-22,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-23,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-24,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-25,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-26,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-29,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-30,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,1.0
2018-10-31,0.0,0.0,26425.0,38345.0,0.0,33622.5,2.5,98392.5,-0.01607499999999995,0.983925
2018-11-01,0.0,0.0,0.0,0.0,0.0,100665.0,5.0,100665.0,0.02309627258175162,1.00665
2018-11-02,0.0,0.0,0.0,39545.0,0.0,62118.75,6.25,101663.75,0.009921521879501238,1.0166374999999999
2018-11-05,0.0,0.0,27355.0,0.0,0.0,73816.25,8.75,101171.25,-0.004844401273807031,1.0117124999999998
2018-11-06,0.0,33260.0,0.0,40245.0,0.0,27647.5,12.5,101152.5,-0.00018532933021975229,1.0115249999999998
2018-11-07,0.0,0.0,27955.0,0.0,0.0,72778.75,16.25,100733.75,-0.004139788932552291,1.0073374999999998
2018-11-08,0.0,33650.0,0.0,0.0,0.0,65891.25,18.75,99541.25,-0.011838137664883952,0.9954124999999997
2018-11-09,0.0,33740.0,0.0,0.0,0.0,65891.25,18.75,99631.25,0.0009041477779312412,0.9963124999999997
2018-11-12,0.0,34015.0,0.0,0.0,23445.0,43030.0,20.0,100490.0,0.008619283608305661,1.0048999999999997
2018-11-13,0.0,34070.0,0.0,39155.0,23635.0,3448.75,21.25,100308.75,-0.0018036620559259697,1.0030874999999997
2018-11-14,0.0,34380.0,0.0,38545.0,23700.0,3448.75,21.25,100073.75,-0.0023427667077896563,1.0007374999999998
2018-11-15,0.0,33890.0,0.0,39350.0,23590.0,3448.75,21.25,100278.75,0.002048489239186102,1.0027875
2018-11-16,0.0,34680.0,0.0,39370.0,23445.0,3448.75,21.25,100943.75,0.006631514652905013,1.0094375
2018-11-19,0.0,34700.0,0.0,38955.0,23520.0,3448.75,21.25,100623.75,-0.003170082347842218,1.0062375000000001
2018-11-20,0.0,34775.0,0.0,0.0,23330.0,43362.5,22.5,101467.5,0.008385197331643779,1.014675
2018-11-21,0.0,34750.0,0.0,0.0,22815.0,43362.5,22.5,100927.5,-0.0053219011013379,1.009275
2018-11-23,0.0,34555.0,0.0,0.0,22860.0,43362.5,22.5,100777.5,-0.0014862153526046251,1.0077749999999999
2018-11-26,0.0,34725.0,0.0,0.0,22825.0,43362.5,22.5,100912.5,0.0013395847287340779,1.0091249999999998
2018-11-27,0.0,0.0,0.0,0.0,23045.0,79116.25,23.75,102161.25,0.012374581939799345,1.0216124999999998
2018-11-28,0.0,35110.0,0.0,0.0,23060.0,43405.0,25.0,101575.0,-0.005738477162329114,1.01575
2018-11-29,0.0,0.0,0.0,0.0,23270.0,78153.75,26.25,101423.75,-0.0014890475018459748,1.0142375
2018-11-30,0.0,35625.0,0.0,0.0,23665.0,43142.5,27.5,102432.5,0.009945895315446318,1.024325
2018-12-03,0.0,0.0,0.0,0.0,23745.0,78111.25,28.75,101856.25,-0.0056256559197520595,1.0185624999999998
2018-12-04,0.0,35380.0,0.0,0.0,23620.0,44240.0,30.0,103240.0,0.013585322451985071,1.0323999999999998
2018-12-06,0.0,0.0,0.0,0.0,23260.0,78398.75,31.25,101658.75,-0.015316253390158852,1.0165874999999998
2018-12-07,0.0,35835.0,0.0,0.0,23490.0,44282.5,32.5,103607.5,0.019169525495837725,1.0360749999999996
2018-12-10,0.0,0.0,28475.0,0.0,23610.0,53735.0,35.0,105820.0,0.021354631662765744,1.0581999999999996
2018-12-11,0.0,35710.0,0.0,0.0,0.0,66771.25,38.75,102481.25,-0.03155121905121905,1.0248124999999997
2018-12-12,0.0,0.0,28720.0,0.0,23505.0,53122.5,42.5,105347.5,0.027968530828810234,1.0534749999999997
2018-12-13,44985.0,35010.0,0.0,0.0,23775.0,1423.75,46.25,105193.75,-0.0014594556111915402,1.0519374999999997
2018-12-14,0.0,0.0,26345.0,0.0,23665.0,53690.0,50.0,103700.0,-0.014199988117164719,1.0369999999999997
2018-12-17,45000.0,33870.0,0.0,0.0,0.0,22980.0,55.0,101850.0,-0.017839922854387624,1.0184999999999997
2018-12-18,0.0,0.0,25615.0,0.0,0.0,76091.25,58.75,101706.25,-0.0014113892979872311,1.0170624999999998
2018-12-19,44200.0,34115.0,0.0,0.0,0.0,23537.5,62.5,101852.5,0.0014379647268480955,1.0185249999999997
2018-12-20,0.0,0.0,24605.0,0.0,0.0,75943.75,66.25,100548.75,-0.012800373088534878,1.0054874999999996
2018-12-21,42645.0,33620.0,0.0,0.0,22545.0,973.75,71.25,99783.75,-0.007608249729608718,0.9978374999999997
2018-12-24,0.0,0.0,23975.0,0.0,0.0,76363.75,76.25,100338.75,0.005562027885301912,1.0033874999999997
2018-12-26,43535.0,32710.0,0.0,0.0,21820.0,1213.75,81.25,99278.75,-0.010564213726003135,0.9927874999999997
2018-12-27,0.0,0.0,24720.0,0.0,21975.0,53445.0,85.0,100140.0,0.008675068934691499,1.0013999999999998
2018-12-28,44080.0,33120.0,0.0,0.0,0.0,23285.0,90.0,100485.0,0.0034451767525465193,1.00485
2018-12-31,0.0,0.0,24610.0,0.0,21960.0,52855.0,95.0,99425.0,-0.010548838135045036,0.99425
2019-01-02,45050.0,0.0,0.0,0.0,21860.0,33127.5,97.5,100037.5,0.006160422428966639,1.000375
2019-01-03,0.0,0.0,24000.0,0.0,0.0,76388.75,101.25,100388.75,0.0035111833062602127,1.0038875
2019-01-04,45225.0,0.0,0.0,37220.0,22355.0,-7336.25,106.25,97463.75,-0.029136730958399193,0.9746375
2019-01-07,0.0,0.0,24865.0,0.0,0.0,76708.75,111.25,101573.75,0.0421695245668261,1.0157375
2019-01-08,45460.0,0.0,0.0,37665.0,22940.0,-7936.25,116.25,98128.75,-0.03391624312383856,0.9812875
2019-01-09,0.0,33160.0,26665.0,0.0,0.0,40007.5,122.5,99832.5,0.017362393793867836,0.998325
2019-01-10,46250.0,0.0,0.0,38270.0,23170.0,-8793.75,128.75,98896.25,-0.009378208499236207,0.9889625000000001
2019-01-11,0.0,33775.0,27185.0,0.0,0.0,40710.0,135.0,101670.0,0.02804706952993663,1.0167
2019-01-14,46800.0,0.0,0.0,38755.0,23080.0,-7936.25,141.25,100698.75,-0.00955296547654172,1.0069875
2019-01-15,0.0,34230.0,27380.0,0.0,0.0,40007.5,147.5,101617.5,0.009123747812162408,1.0161749999999998
2019-01-16,47205.0,0.0,0.0,39985.0,23435.0,-7803.75,153.75,102821.25,0.011845892685807158,1.0282125
2019-01-17,0.0,34955.0,27135.0,0.0,0.0,40210.0,160.0,102300.0,-0.005069477369707087,1.0230000000000001
2019-01-18,48190.0,0.0,0.0,40630.0,23610.0,-7641.25,166.25,104788.75,0.02432795698924739,1.0478875000000003
2019-01-22,0.0,35200.0,27740.0,0.0,0.0,40842.5,172.5,103782.5,-0.0096026529565435,1.0378250000000002
2019-01-23,47790.0,0.0,0.0,39975.0,23790.0,-7888.75,178.75,103666.25,-0.0011201310432876754,1.0366625000000003
2019-01-24,0.0,35175.0,27680.0,0.0,0.0,41300.0,185.0,104155.0,0.004714649174635044,1.0415500000000004
2019-01-25,47620.0,0.0,0.0,40530.0,23750.0,-7581.25,191.25,104318.75,0.0015721760837212884,1.0431875000000004
2019-01-28,0.0,35860.0,27780.0,0.0,0.0,40522.5,197.5,104162.5,-0.0014978131927385618,1.0416250000000005
2019-01-29,47470.0,0.0,0.0,40470.0,23790.0,-7158.75,203.75,104571.25,0.00392415696627868,1.0457125000000005
2019-01-30,0.0,36000.0,28110.0,0.0,0.0,40490.0,210.0,104600.0,0.0002749321634769597,1.0460000000000005
2019-01-31,48195.0,0.0,0.0,40250.0,24300.0,-8861.25,216.25,103883.75,-0.006847514340344141,1.0388375000000005
2019-02-01,0.0,36010.0,28975.0,0.0,0.0,39302.5,222.5,104287.5,0.003886555885785903,1.0428750000000007
2019-02-04,49000.0,0.0,0.0,40905.0,24305.0,-8578.75,228.75,105631.25,0.012885053338127728,1.0563125000000007
2019-02-05,0.0,36475.0,28805.0,41070.0,0.0,-1163.75,233.75,105186.25,-0.0042127684752381045,1.0518625000000008
2019-02-06,48955.0,0.0,0.0,40830.0,24270.0,-8868.75,238.75,105186.25,0.0,1.0518625000000008
2019-02-07,0.0,36770.0,28715.0,40360.0,0.0,-278.75,243.75,105566.25,0.0036126394847235677,1.0556625000000008
2019-02-08,48565.0,0.0,0.0,40215.0,0.0,17002.5,247.5,105782.5,0.0020484766674955246,1.057825000000001
2019-02-11,48755.0,36730.0,29000.0,40010.0,0.0,-49335.0,250.0,105160.0,-0.005884716281048363,1.051600000000001
2019-02-12,49370.0,0.0,0.0,41005.0,0.0,16682.5,252.5,107057.5,0.018043933054393335,1.070575000000001
2019-02-13,48955.0,36645.0,0.0,40905.0,0.0,-20178.75,253.75,106326.25,-0.006830441585129465,1.0632625000000009
2019-02-14,48565.0,0.0,0.0,40585.0,24600.0,-8206.25,256.25,105543.75,-0.00735942441306825,1.055437500000001
2019-02-15,49105.0,0.0,0.0,41165.0,24280.0,-8206.25,256.25,106343.75,0.007579795108663578,1.0634375000000011
2019-02-19,49120.0,0.0,0.0,41465.0,24460.0,-8206.25,256.25,106838.75,0.004654716426682359,1.0683875000000012
2019-02-20,49415.0,0.0,0.0,41390.0,24870.0,-8206.25,256.25,107468.75,0.005896736904915212,1.0746875000000014
2019-02-21,49085.0,0.0,0.0,41455.0,25110.0,-8206.25,256.25,107443.75,-0.00023262576330329576,1.0744375000000013
2019-02-22,49170.0,0.0,0.0,41780.0,25185.0,-8206.25,256.25,107928.75,0.004513989878424773,1.0792875000000013
2019-02-25,49530.0,0.0,0.0,0.0,24780.0,32022.5,257.5,106332.5,-0.014789849785159181,1.0633250000000012
2019-02-26,0.0,0.0,29370.0,41785.0,24610.0,11518.75,261.25,107283.75,0.008945994874568042,1.0728375000000012
2019-02-27,0.0,0.0,29370.0,0.0,24690.0,52017.5,262.5,106077.5,-0.011243548067624398,1.0607750000000011
2019-02-28,0.0,0.0,0.0,0.0,24845.0,82131.25,263.75,106976.25,0.008472579010629033,1.069762500000001
2019-03-01,0.0,0.0,32369.999999999996,0.0,24990.0,52245.0,265.0,109605.0,0.024573211343639434,1.096050000000001
2019-03-04,51890.0,0.0,0.0,0.0,25050.0,32977.5,267.5,109917.5,0.0028511473016741284,1.099175000000001
2019-03-05,0.0,0.0,0.0,0.0,25035.0,82341.25,268.75,107376.25,-0.023119612436600212,1.0737625000000008
2019-03-06,50585.0,0.0,0.0,0.0,25065.0,32490.0,270.0,108140.0,0.007112839198612386,1.0814000000000008
2019-03-07,0.0,0.0,30795.0,0.0,25245.0,52027.5,272.5,108067.5,-0.000670427223968928,1.0806750000000007
2019-03-08,49980.0,0.0,0.0,0.0,25450.0,32985.0,275.0,108415.0,0.0032155828533093622,1.0841500000000008
2019-03-11,0.0,0.0,30595.0,0.0,25700.0,53822.5,277.5,110117.5,0.015703546557210624,1.1011750000000007
2019-03-12,50505.0,0.0,0.0,0.0,25840.0,33295.0,280.0,109640.0,-0.004336277158489832,1.0964000000000007
2019-03-13,0.0,0.0,29885.0,0.0,25865.0,53297.5,282.5,109047.5,-0.005404049616928086,1.0904750000000007
2019-03-14,49100.0,0.0,0.0,0.0,25765.0,33420.0,285.0,108285.0,-0.006992365712189641,1.0828500000000008
2019-03-15,0.0,0.0,30135.0,0.0,25930.0,53472.5,287.5,109537.5,0.011566698988779711,1.0953750000000009
2019-03-18,49850.0,0.0,0.0,41260.0,25890.0,-6656.25,291.25,110343.75,0.007360492981855593,1.103437500000001
2019-03-19,0.0,0.0,28960.0,40765.0,25495.0,13506.25,293.75,108726.25,-0.014658736901727587,1.087262500000001
2019-03-20,47290.0,0.0,0.0,39675.0,25590.0,-7931.25,296.25,104623.75,-0.037732378335498584,1.0462375000000008
2019-03-21,0.0,0.0,27100.0,39705.0,25785.0,13126.25,298.75,105716.25,0.01044217971540884,1.057162500000001
2019-03-22,47280.0,0.0,0.0,38380.0,25940.0,-8306.25,301.25,103293.75,-0.022915114752935284,1.032937500000001
2019-03-25,0.0,0.0,27275.0,38505.0,0.0,38810.0,305.0,104590.0,0.012549161977370327,1.045900000000001
2019-03-26,47685.0,0.0,0.0,39050.0,0.0,17312.5,307.5,104047.5,-0.005186920355674585,1.040475000000001
2019-03-27,0.0,0.0,27440.0,0.0,0.0,81238.75,311.25,108678.75,0.04451092049304406,1.086787500000001
